id,month,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt
23702,01/06/2020,ICICI Bank,8102,1019277,1027379,8.58,16386187.61,69580635.52,85966823.13,9.94,3692,1013674,1017366,8.5,2837934.41,86332800.51,89170734.93,10.31
23703,01/06/2020,ICICI Securities Primary Dealership,163,112,275,0,1575754.91,3499154.77,5074909.69,0.59,207,0,207,0,5164511.41,,5164511.41,0.6
23704,01/06/2020,IDBI Bank,5103,285294,290397,2.43,810707.53,19337899.28,20148606.81,2.33,3096,240560,243656,2.04,1039253.51,18487243.87,19526497.38,2.26
23705,01/06/2020,IDFC First Bank,330,57097,57427,0.48,2137914.41,3497005.23,5634919.65,0.65,498,61035,61533,0.51,672099.93,4964079.17,5636179.1,0.65
23706,01/06/2020,India Post Payments Bank,30,790,820,0.01,207.95,13816.37,14024.32,0,0,996,996,0.01,,3683.64,3683.64,0
23707,01/06/2020,Indian Bank,3602,112692,116294,0.97,353053.8,3552895.05,3905948.86,0.45,5088,164939,170027,1.42,309197.46,4430787.86,4739985.32,0.55
23708,01/06/2020,Indian Bank - Allahabad Bank (Till 31/03/2020),3278,92978,96256,0.8,212969.67,1867081.11,2080050.78,0.24,3380,162049,165429,1.38,78919.24,2149123.08,2228042.31,0.26
23709,01/06/2020,Indian Clearing Corporation,4,3970,3974,0.03,7276.47,2178417.27,2185693.74,0.25,0,2251,2251,0.02,,2150832.29,2150832.29,0.25
23710,01/06/2020,Indian Overseas Bank,2940,105004,107944,0.9,418071.6,2036568.67,2454640.26,0.28,3640,127216,130856,1.09,283882.83,2460739.13,2744621.96,0.32
23711,01/06/2020,IndusInd Bank,1068,183433,184501,1.54,1757708.72,10964079.27,12721787.98,1.47,820,164721,165541,1.38,1251567.37,9095380.62,10346947.99,1.2
23712,01/06/2020,Industrial and Commercial Bank of China,64,138,202,0,11883.97,150923.22,162807.19,0.02,41,74,115,0,22619.8,59853.91,82473.71,0.01
23713,01/06/2020,Industrial Bank of Korea,26,79,105,0,19222.14,15916.64,35138.78,0,45,255,300,0,21133.92,24234.95,45368.87,0.01
23714,01/06/2020,Irinjalakuda Town Co-operative Bank,0,152,152,0,,1454.99,1454.99,0,0,403,403,0,,4162.74,4162.74,0
23715,01/06/2020,Idukki District Co-operative Bank,18,417,435,0,29.97,4338.52,4368.49,0,0,901,901,0.01,,7284.73,7284.73,0
23716,01/06/2020,Jalgaon Janata Co-operative Bank,16,2134,2150,0.02,577.84,62442.65,63020.49,0.01,10,3727,3737,0.03,14401.63,55411.2,69812.83,0.01
23717,01/06/2020,Jana Small Finance Bank,12,1819,1831,0.02,82521.45,431583.65,514105.1,0.06,22,1629,1651,0.01,103601.94,321434.18,425036.12,0.05
23719,01/06/2020,Janaseva Co-operative Bank Pune,2,830,832,0.01,165.59,12018.73,12184.32,0,0,1341,1341,0.01,,13590.21,13590.21,0
23720,01/06/2020,Janata Co-operative Bank Pune,41,5883,5924,0.05,4251.17,95125.8,99376.97,0.01,1,9388,9389,0.08,0.26,124766.05,124766.31,0.01
23721,01/06/2020,Jankalyan Co-operative Bank,3,1081,1084,0.01,92.53,23509.1,23601.63,0,0,1465,1465,0.01,,19415.97,19415.97,0
23722,01/06/2020,Jio Payments Bank,0,88,88,0,,2839.27,2839.27,0,0,77,77,0,,1615.86,1615.86,0
